 ,Area,Mean,Min,Max,Perim.,Circ.,AR,Round,Solidity
13869,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13870,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13871,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13872,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13873,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13874,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13875,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13876,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13877,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13878,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13879,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13880,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13881,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13882,0.079,0,0,0,1.144,0.754,2.702,0.370,0.667
13883,0.288,0,0,0,3.623,0.276,1.549,0.646,0.537
13884,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13885,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13886,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13887,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13888,0.262,0,0,0,2.802,0.419,1.946,0.514,0.667
13889,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13890,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13891,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13892,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13893,0.079,0,0,0,1.373,0.524,1.567,0.638,0.600
13894,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13895,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13896,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13897,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13898,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13899,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13900,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13901,0.079,0,0,0,1.373,0.524,1.567,0.638,0.600
13902,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13903,0.105,0,0,0,1.373,0.698,1.581,0.632,0.615
13904,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13905,0.183,0,0,0,2.478,0.375,3.201,0.312,0.609
13906,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13907,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13908,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13909,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13910,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13911,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13912,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
13913,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13914,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13915,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
13916,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13917,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13918,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13919,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13920,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13921,0.105,0,0,0,1.144,1.000,2.031,0.492,0.800
13922,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13923,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13924,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13925,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13926,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13927,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
13928,0.079,0,0,0,1.239,0.643,2.702,0.370,0.667
13929,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13930,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13931,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13932,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13933,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13934,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
13935,0.131,0,0,0,1.697,0.572,3.211,0.311,0.625
