 ,Area,Mean,Min,Max,Perim.,Circ.,AR,Round,Solidity
5317,11.970,0.828,0.527,1.000,20.246,0.367,4.392,0.228,0.763
5318,4.374,0.814,0.527,1.000,14.785,0.251,6.587,0.152,0.664
5319,12.441,0.859,0.526,1.000,29.616,0.178,8.907,0.112,0.547
5320,10.634,0.892,0.535,1.000,18.872,0.375,1.230,0.813,0.731
5321,39.839,0.866,0.527,1.000,58.294,0.147,7.717,0.130,0.498
5322,10.949,0.873,0.528,1.000,16.244,0.521,2.106,0.475,0.858
5323,26.586,0.891,0.526,1.000,40.478,0.204,4.250,0.235,0.567
5324,10.137,0.858,0.526,1.000,23.064,0.239,2.888,0.346,0.685
5325,32.007,0.803,0.528,1.000,56.812,0.125,5.103,0.196,0.616
5326,13.044,0.915,0.541,1.000,18.431,0.483,2.470,0.405,0.846
5327,4.138,0.856,0.538,1.000,8.903,0.656,1.314,0.761,0.806
5328,4.610,0.809,0.527,1.000,12.961,0.345,5.710,0.175,0.774
5329,31.457,0.828,0.526,1.000,34.508,0.332,3.410,0.293,0.812
5330,6.234,0.869,0.537,1.000,13.536,0.428,2.016,0.496,0.728
5331,41.463,0.879,0.526,1.000,46.579,0.240,3.275,0.305,0.668
5332,8.460,0.745,0.526,0.959,18.990,0.295,6.729,0.149,0.718
5333,6.705,0.883,0.529,1.000,13.079,0.493,4.169,0.240,0.835
5334,22.054,0.802,0.529,1.000,37.319,0.199,4.003,0.250,0.660
5335,17.706,0.890,0.526,1.000,28.079,0.282,7.019,0.142,0.786
5336,5.291,0.592,0.532,0.703,9.914,0.677,1.093,0.915,0.711
5337,19.933,0.882,0.528,1.000,31.012,0.260,3.829,0.261,0.536
5338,6.103,0.756,0.534,0.852,14.720,0.354,6.137,0.163,0.840
5339,7.805,0.723,0.531,0.903,21.707,0.208,7.896,0.127,0.687
5340,6.155,0.846,0.531,1.000,17.319,0.258,8.011,0.125,0.738
5341,6.129,0.864,0.534,1.000,13.585,0.417,4.345,0.230,0.793
5342,4.688,0.883,0.549,1.000,10.388,0.546,1.465,0.683,0.789
5343,7.622,0.854,0.526,1.000,19.843,0.243,8.780,0.114,0.799
5344,72348.148,0.973,0.525,1.000,2969.014,0.103,1.299,0.770,0.660
5345,32.924,0.940,0.527,1.000,34.256,0.353,1.568,0.638,0.738
5346,64.486,0.880,0.526,1.000,53.854,0.279,1.953,0.512,0.760
5347,115.902,0.950,0.526,1.000,40.919,0.870,1.160,0.862,0.974
5348,18634.692,0.978,0.526,1.000,882.075,0.301,1.647,0.607,0.855
5349,81.328,0.859,0.526,1.000,68.645,0.217,5.399,0.185,0.892
5350,16.266,0.765,0.528,1.000,36.623,0.152,2.862,0.349,0.559
5351,20.980,0.852,0.528,0.943,30.920,0.276,4.284,0.233,0.807
5352,11.158,0.806,0.528,1.000,19.615,0.364,1.721,0.581,0.799
5353,23.757,0.865,0.529,1.000,25.219,0.469,1.763,0.567,0.831
5354,30.488,0.888,0.528,1.000,24.571,0.635,1.235,0.809,0.900
5355,3063.778,0.966,0.526,1.000,432.807,0.206,5.395,0.185,0.820
5356,25.407,0.860,0.528,1.000,24.800,0.519,2.010,0.497,0.886
5357,10.896,0.817,0.528,1.000,23.286,0.253,2.965,0.337,0.772
5358,61.265,0.907,0.527,1.000,38.607,0.517,1.665,0.601,0.915
5359,266.955,0.928,0.526,1.000,103.088,0.316,1.399,0.715,0.765
5360,10458.297,0.976,0.526,1.000,563.075,0.415,1.099,0.910,0.917
5361,35.832,0.813,0.527,1.000,35.763,0.352,1.520,0.658,0.815
5362,35.884,0.830,0.528,1.000,43.696,0.236,1.493,0.670,0.807
5363,1910.228,0.969,0.526,1.000,245.273,0.399,1.664,0.601,0.862
5364,36.303,0.850,0.526,1.000,59.357,0.129,4.107,0.243,0.556
5365,7.779,0.867,0.533,1.000,15.841,0.390,3.127,0.320,0.775
5366,8.277,0.860,0.531,1.000,20.128,0.257,2.761,0.362,0.546
5367,9.901,0.874,0.530,1.000,18.117,0.379,5.469,0.183,0.838
5368,4.138,0.872,0.536,1.000,10.845,0.442,1.203,0.831,0.713
5369,15.532,0.844,0.526,1.000,37.074,0.142,4.751,0.210,0.519
5370,5.893,0.842,0.531,1.000,12.866,0.447,4.564,0.219,0.877
5371,44.685,0.886,0.526,1.000,42.077,0.317,5.524,0.181,0.834
5372,8.146,0.893,0.526,1.000,13.987,0.523,1.255,0.797,0.830
5373,7.832,0.883,0.527,1.000,13.899,0.509,4.011,0.249,0.889
5374,24.202,0.869,0.528,1.000,36.159,0.233,4.963,0.201,0.770
5375,4.322,0.856,0.534,1.000,10.751,0.470,3.561,0.281,0.827
5376,14.668,0.871,0.526,1.000,29.600,0.210,4.134,0.242,0.707
5377,6.443,0.849,0.529,1.000,19.726,0.208,8.108,0.123,0.666
5378,11.996,0.841,0.534,1.000,27.991,0.192,2.631,0.380,0.733
5379,18.099,0.884,0.532,1.000,38.905,0.150,5.537,0.181,0.658
5380,5.160,0.818,0.535,1.000,10.404,0.599,3.126,0.320,0.895
5381,5.841,0.796,0.529,1.000,19.820,0.187,10.259,0.097,0.629
5382,8.722,0.760,0.527,0.974,22.174,0.223,7.474,0.134,0.652
5383,8.644,0.773,0.530,0.969,17.790,0.343,6.623,0.151,0.830
5384,9.325,0.813,0.534,1.000,25.124,0.186,10.951,0.091,0.731
5385,8.696,0.872,0.526,1.000,17.483,0.358,3.010,0.332,0.719
5386,19.094,0.884,0.534,1.000,34.069,0.207,6.175,0.162,0.522
5387,7.072,0.879,0.529,1.000,17.469,0.291,7.169,0.139,0.741
5388,10.870,0.896,0.533,1.000,21.125,0.306,7.102,0.141,0.899
5389,13.201,0.866,0.526,1.000,27.795,0.215,9.697,0.103,0.734
5390,5.527,0.897,0.527,1.000,11.627,0.514,1.643,0.608,0.771
5391,5.239,0.886,0.536,1.000,13.916,0.340,5.899,0.170,0.816
5392,30.619,0.900,0.526,1.000,38.392,0.261,5.160,0.194,0.754
5393,10.241,0.874,0.527,1.000,15.975,0.504,2.031,0.492,0.784
5394,4.112,0.881,0.527,1.000,9.914,0.526,3.301,0.303,0.844
5395,6.941,0.904,0.527,1.000,13.641,0.469,2.662,0.376,0.778
5396,6.155,0.853,0.529,1.000,16.498,0.284,6.290,0.159,0.736
5397,68.572,0.851,0.528,1.000,93.851,0.098,5.460,0.183,0.438
5398,17.863,0.906,0.532,1.000,25.464,0.346,3.083,0.324,0.812
5399,15.454,0.859,0.529,1.000,36.374,0.147,4.575,0.219,0.639
5400,26.088,0.889,0.526,1.000,50.382,0.129,7.537,0.133,0.458
5401,11.813,0.864,0.530,1.000,26.925,0.205,3.779,0.265,0.720
5402,31.431,0.908,0.526,1.000,35.972,0.305,4.313,0.232,0.812
5403,5.396,0.757,0.535,0.995,12.575,0.429,4.248,0.235,0.866
5404,14.327,0.910,0.526,1.000,19.006,0.498,2.061,0.485,0.890
5405,53.485,0.859,0.526,1.000,66.092,0.154,5.664,0.177,0.499
5406,16.816,0.873,0.529,1.000,29.930,0.236,4.789,0.209,0.685
5407,9.246,0.856,0.533,1.000,21.808,0.244,4.923,0.203,0.574
5408,25.381,0.922,0.526,1.000,24.738,0.521,3.119,0.321,0.847
5409,4.741,0.763,0.528,1.000,13.798,0.313,4.426,0.226,0.693
5410,11.499,0.893,0.527,1.000,21.282,0.319,6.079,0.165,0.825
5411,10.084,0.780,0.526,1.000,21.975,0.262,2.444,0.409,0.533
5412,57.519,0.923,0.528,1.000,51.402,0.274,4.733,0.211,0.731
5413,20.037,0.895,0.538,1.000,26.402,0.361,4.067,0.246,0.805
5414,17.235,0.891,0.531,1.000,27.684,0.283,2.937,0.340,0.825
5415,65.115,0.908,0.526,1.000,84.798,0.114,3.373,0.296,0.299
5416,11.656,0.873,0.533,1.000,22.400,0.292,3.828,0.261,0.713
5417,34.941,0.935,0.526,1.000,48.521,0.187,3.716,0.269,0.529
5418,44.868,0.952,0.526,1.000,41.544,0.327,3.490,0.286,0.667
5419,12.153,0.835,0.529,1.000,23.119,0.286,6.435,0.155,0.747
5420,5.003,0.813,0.526,1.000,9.472,0.701,2.202,0.454,0.899
5421,11.839,0.876,0.529,1.000,28.599,0.182,6.862,0.146,0.620
5422,6.679,0.917,0.529,1.000,12.401,0.546,3.475,0.288,0.914
5423,34.339,0.919,0.527,1.000,43.950,0.223,2.714,0.368,0.457
5424,21.635,0.777,0.531,1.000,46.752,0.124,5.471,0.183,0.430
5425,4.007,0.841,0.535,1.000,12.693,0.313,5.895,0.170,0.748
5426,94.791,0.919,0.527,1.000,107.436,0.103,3.966,0.252,0.365
5427,5.946,0.878,0.528,1.000,15.747,0.301,2.130,0.469,0.657
5428,103.304,0.902,0.526,1.000,135.747,0.070,2.373,0.421,0.281
5429,6.260,0.897,0.526,1.000,13.173,0.453,3.574,0.280,0.777
5430,8.303,0.931,0.527,1.000,14.658,0.486,2.116,0.473,0.734
5431,4.086,0.875,0.530,1.000,12.653,0.321,6.058,0.165,0.746
5432,5.422,0.844,0.526,1.000,13.497,0.374,1.739,0.575,0.713
5433,7.020,0.786,0.526,1.000,13.451,0.488,3.725,0.268,0.890
5434,5.500,0.851,0.540,1.000,10.332,0.647,2.760,0.362,0.879
5435,20.037,0.899,0.526,1.000,32.837,0.234,3.678,0.272,0.719
5436,10.949,0.780,0.527,1.000,28.409,0.170,8.203,0.122,0.481
5437,10.163,0.804,0.534,1.000,23.057,0.240,4.631,0.216,0.568
5438,9.744,0.882,0.528,1.000,22.953,0.232,8.195,0.122,0.673
5439,10.529,0.873,0.535,1.000,19.425,0.351,2.113,0.473,0.786
5440,4.427,0.835,0.536,1.000,10.371,0.517,3.542,0.282,0.849
5441,71.192,0.828,0.526,1.000,132.491,0.051,2.253,0.444,0.190
5442,17.785,0.914,0.527,1.000,32.088,0.217,3.610,0.277,0.467
5443,11.944,0.826,0.533,1.000,20.474,0.358,4.417,0.226,0.759
5444,4.427,0.792,0.531,1.000,15.014,0.247,6.012,0.166,0.658
5445,10.896,0.873,0.526,1.000,28.187,0.172,9.012,0.111,0.579
5446,10.713,0.887,0.526,1.000,19.006,0.373,1.240,0.807,0.746
5447,39.472,0.856,0.526,1.000,59.667,0.139,7.690,0.130,0.485
5448,10.084,0.874,0.527,1.000,15.557,0.524,2.069,0.483,0.852
5449,25.983,0.884,0.526,1.000,40.501,0.199,4.173,0.240,0.562
5450,7.910,0.853,0.527,1.000,18.107,0.303,5.870,0.170,0.796
5451,26.166,0.789,0.526,1.000,43.953,0.170,9.417,0.106,0.628
5452,12.651,0.915,0.532,1.000,18.107,0.485,2.438,0.410,0.850
5453,5.500,0.813,0.538,1.000,15.338,0.294,6.977,0.143,0.769
5454,4.243,0.813,0.526,1.000,11.856,0.379,5.161,0.194,0.761
5455,30.619,0.825,0.530,1.000,34.184,0.329,3.345,0.299,0.819
5456,5.789,0.865,0.529,1.000,13.363,0.407,2.081,0.481,0.702
5457,41.306,0.875,0.527,1.000,46.010,0.245,3.223,0.310,0.671
5458,8.460,0.732,0.526,0.905,19.180,0.289,6.995,0.143,0.727
5459,6.443,0.879,0.531,1.000,13.118,0.471,4.478,0.223,0.835
5460,18.754,0.803,0.526,1.000,30.476,0.254,6.600,0.152,0.751
5461,17.340,0.877,0.527,1.000,28.481,0.269,7.103,0.141,0.764
5462,18.256,0.881,0.527,1.000,29.315,0.267,3.420,0.292,0.541
5463,6.077,0.749,0.533,0.852,14.681,0.354,6.121,0.163,0.838
5464,7.229,0.737,0.529,0.890,19.860,0.230,7.646,0.131,0.722
5465,5.762,0.828,0.534,1.000,16.901,0.254,8.511,0.117,0.718
5466,5.631,0.845,0.532,1.000,13.222,0.405,4.671,0.214,0.810
5467,4.400,0.871,0.530,1.000,10.577,0.494,1.551,0.645,0.742
5468,6.941,0.869,0.534,1.000,19.101,0.239,8.278,0.121,0.767
5469,8.775,0.751,0.530,0.944,11.264,0.869,1.206,0.829,0.928
5470,72434.139,0.973,0.525,1.000,2962.131,0.104,1.300,0.769,0.661
5471,31.615,0.935,0.535,1.000,32.101,0.386,1.536,0.651,0.753
5472,63.072,0.897,0.525,1.000,51.660,0.297,1.961,0.510,0.754
5473,115.274,0.951,0.527,1.000,43.492,0.766,1.173,0.852,0.962
5474,18651.115,0.978,0.526,1.000,894.236,0.293,1.646,0.608,0.854
5475,84.183,0.859,0.527,1.000,67.896,0.229,5.487,0.182,0.896
5476,17.209,0.766,0.528,1.000,36.813,0.160,2.269,0.441,0.545
5477,22.211,0.848,0.528,0.943,31.512,0.281,4.303,0.232,0.804
5478,11.813,0.805,0.529,1.000,18.683,0.425,1.647,0.607,0.759
5479,22.919,0.866,0.529,1.000,23.087,0.540,1.738,0.575,0.881
5480,32.112,0.889,0.527,1.000,26.710,0.566,1.296,0.771,0.892
5481,3044.526,0.965,0.526,1.000,414.134,0.223,5.401,0.185,0.830
5482,8.224,0.737,0.526,0.985,22.495,0.204,1.583,0.632,0.681
5483,36.932,0.851,0.528,1.000,36.924,0.340,1.778,0.563,0.818
5484,10.189,0.777,0.529,0.974,22.923,0.244,4.094,0.244,0.733
5485,60.924,0.907,0.528,1.000,39.444,0.492,1.714,0.583,0.937
5486,266.039,0.923,0.526,1.000,103.571,0.312,1.406,0.711,0.762
5487,10458.454,0.976,0.526,1.000,546.616,0.440,1.101,0.908,0.925
5488,34.024,0.807,0.527,1.000,39.694,0.271,1.660,0.603,0.778
5489,39.734,0.850,0.528,1.000,39.805,0.315,1.461,0.685,0.843
5490,1911.957,0.969,0.526,1.000,249.340,0.386,1.679,0.596,0.859
5491,35.334,0.845,0.526,1.000,60.864,0.120,4.079,0.245,0.554
5492,7.517,0.864,0.528,1.000,14.926,0.424,3.179,0.315,0.770
5493,6.260,0.860,0.531,1.000,14.507,0.374,5.616,0.178,0.802
5494,9.246,0.867,0.529,1.000,18.117,0.354,5.700,0.175,0.812
5495,13.489,0.828,0.529,1.000,37.398,0.121,5.023,0.199,0.458
5496,5.631,0.830,0.529,1.000,12.771,0.434,4.527,0.221,0.857
5497,43.742,0.884,0.529,1.000,42.061,0.311,5.522,0.181,0.833
5498,7.884,0.886,0.527,1.000,14.540,0.469,1.296,0.771,0.789
5499,7.543,0.865,0.533,1.000,13.994,0.484,4.175,0.239,0.878
5500,23.704,0.862,0.527,1.000,34.920,0.244,4.986,0.201,0.769
5501,14.406,0.874,0.526,1.000,29.410,0.209,4.073,0.246,0.692
5502,6.417,0.824,0.533,1.000,19.686,0.208,8.345,0.120,0.629
5503,12.337,0.847,0.534,1.000,21.265,0.343,2.824,0.354,0.742
5504,17.837,0.882,0.526,1.000,37.974,0.155,5.589,0.179,0.664
5505,4.846,0.803,0.539,1.000,10.175,0.588,3.319,0.301,0.909
5506,8.224,0.764,0.534,0.974,21.203,0.230,7.420,0.135,0.646
5507,8.801,0.780,0.527,0.959,17.064,0.380,5.975,0.167,0.844
5508,8.722,0.839,0.528,1.000,23.790,0.194,10.082,0.099,0.719
5509,9.036,0.868,0.533,1.000,18.627,0.327,3.097,0.323,0.747
5510,18.544,0.878,0.538,1.000,33.706,0.205,6.111,0.164,0.521
5511,6.732,0.867,0.527,1.000,17.280,0.283,6.483,0.154,0.772
5512,11.315,0.903,0.564,1.000,20.304,0.345,6.381,0.157,0.939
5513,12.887,0.883,0.529,1.000,26.532,0.230,9.757,0.102,0.748
5514,5.081,0.896,0.552,1.000,10.862,0.541,1.656,0.604,0.731
5515,5.029,0.853,0.542,1.000,13.687,0.337,6.329,0.158,0.805
5516,27.345,0.909,0.530,1.000,34.943,0.281,5.044,0.198,0.753
5517,9.665,0.878,0.526,1.000,16.299,0.457,1.828,0.547,0.763
5518,6.967,0.902,0.526,1.000,13.909,0.453,2.596,0.385,0.767
5519,5.972,0.830,0.527,0.997,17.263,0.252,6.534,0.153,0.749
5520,68.337,0.845,0.526,1.000,92.305,0.101,5.408,0.185,0.460
5521,17.392,0.897,0.526,1.000,25.274,0.342,3.008,0.332,0.812
5522,14.301,0.867,0.531,1.000,38.166,0.123,4.538,0.220,0.588
5523,23.442,0.883,0.526,1.000,46.854,0.134,8.248,0.121,0.453
5524,10.870,0.845,0.531,1.000,25.630,0.208,3.914,0.256,0.672
5525,30.672,0.901,0.527,1.000,36.185,0.294,4.352,0.230,0.825
5526,5.212,0.748,0.526,0.974,13.222,0.375,4.662,0.214,0.834
5527,13.646,0.921,0.530,1.000,16.394,0.638,2.046,0.489,0.898
5528,52.045,0.859,0.526,1.000,65.886,0.151,5.692,0.176,0.491
5529,16.789,0.873,0.528,1.000,31.895,0.207,4.350,0.230,0.694
5530,7.596,0.855,0.532,1.000,17.025,0.329,4.849,0.206,0.716
5531,24.857,0.926,0.529,1.000,24.928,0.503,3.146,0.318,0.840
5532,4.819,0.751,0.528,0.996,16.426,0.224,5.616,0.178,0.587
5533,11.210,0.900,0.527,1.000,20.958,0.321,5.996,0.167,0.820
5534,9.691,0.784,0.533,1.000,21.383,0.266,2.457,0.407,0.530
5535,57.545,0.920,0.529,1.000,49.302,0.297,4.653,0.215,0.731
5536,19.121,0.888,0.536,1.000,24.555,0.399,3.827,0.261,0.847
5537,14.406,0.894,0.530,1.000,23.034,0.341,3.157,0.317,0.786
5538,64.277,0.913,0.526,1.000,83.787,0.115,3.340,0.299,0.296
5539,10.896,0.892,0.528,1.000,20.435,0.328,3.544,0.282,0.729
5540,34.469,0.934,0.526,1.000,49.057,0.180,3.671,0.272,0.513
5541,42.982,0.946,0.526,1.000,41.370,0.316,3.469,0.288,0.663
5542,11.787,0.846,0.526,1.000,22.662,0.288,6.453,0.155,0.744
5543,4.793,0.813,0.538,1.000,9.511,0.666,2.223,0.450,0.895
5544,11.577,0.887,0.532,1.000,29.286,0.170,6.877,0.145,0.599
5545,6.889,0.902,0.547,1.000,12.993,0.513,3.406,0.294,0.877
5546,33.762,0.919,0.528,1.000,42.443,0.236,2.755,0.363,0.464
5547,21.059,0.768,0.526,1.000,46.255,0.124,5.381,0.186,0.412
5548,94.267,0.915,0.526,1.000,109.607,0.099,3.862,0.259,0.358
5549,5.920,0.844,0.527,1.000,16.338,0.279,2.530,0.395,0.631
5550,101.156,0.903,0.526,1.000,135.155,0.070,2.413,0.414,0.277
5551,6.155,0.903,0.538,1.000,12.676,0.481,3.223,0.310,0.801
5552,7.989,0.916,0.528,1.000,15.439,0.421,2.236,0.447,0.697
5553,4.112,0.868,0.533,1.000,9.874,0.530,3.591,0.278,0.870
5554,6.627,0.780,0.535,1.000,12.764,0.511,3.607,0.277,0.910
5555,5.474,0.837,0.537,1.000,10.466,0.628,2.770,0.361,0.874
